# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	5530
#@/user_id	21c2c11f-05e4-41a3-a138-35b0c9d61648
a 	啊	c=5 d=1.46884 t=5530
bu shi 	不是	c=13 d=4.44369 t=5530
bu shu 	部署	c=7 d=1.32702 t=5530
bu shui 	不睡	c=1 d=0.927743 t=5530
bu tai 	不太	c=4 d=1.71083 t=5530
bu tai cheng 	不太成	c=1 d=0.946485 t=5530
bu tai du 	不太堵	c=1 d=0.839457 t=5530
bu tai dui 	不太对	c=2 d=1.06036 t=5530
bu tai xing 	不太行	c=3 d=1.23373 t=5530
bu tong guo 	不通过	c=1 d=0.489192 t=5530
bu xian shi 	不显示	c=1 d=0.371577 t=5530
bu xiao de 	不晓得	c=2 d=0.893514 t=5530
bu xiao xin 	不小心	c=2 d=0.835908 t=5530
bu xin 	不信	c=1 d=0.99005 t=5530
bu xing 	不行	c=6 d=1.72234 t=5530
bu yao 	不要	c=6 d=1.78374 t=5530
bu ye 	不也	c=1 d=0.440432 t=5530
bu yi ding 	不一定	c=0 d=0.0511709 t=5530
bu yi yang 	不一样	c=4 d=1.37601 t=5530
bu ying xiang 	不影响	c=1 d=0.351692 t=5530
bu zai 	不再	c=1 d=0.778033 t=5530
bu zai wu han 	不再武汉	c=1 d=0.737123 t=5530
bu zhao ji yong 	不着急用	c=1 d=0.597501 t=5530
bu zheng chang le 	不正常了	c=1 d=0.937067 t=5530
bu zhi chi 	不支持	c=4 d=1.52564 t=5530
bu zhi dao 	不知道	c=4 d=1.17814 t=5530
bu zhou 	步骤	c=1 d=0.22313 t=5530
bu zhun que 	不准确	c=1 d=0.802519 t=5530
bu zi dong 	不自动	c=1 d=0.501576 t=5530
bu zi dong jie shu 	不自动结束	c=1 d=0.418952 t=5530
cai 	才	c=5 d=1.71699 t=5530
cai dui 	才对	c=1 d=0.319819 t=5530
cai fan kui 	才反馈	c=1 d=0.744532 t=5530
cai hui 	才会	c=2 d=0.814647 t=5530
cai ji 	采集	c=2 d=1.60946 t=5530
cai kai shi 	才开始	c=1 d=0.856415 t=5530
can shu 	参数	c=9 d=2.93212 t=5530
can yu 	参与	c=1 d=0.837452 t=5530
cang ku 	仓库	c=3 d=1.68029 t=5530
cang ku zhong 	仓库中	c=1 d=0.802519 t=5530
cao zuo 	操作	c=2 d=1.25288 t=5530
ce 	测	c=1 d=0.66365 t=5530
ce bu liao 	测不了	c=1 d=0.612626 t=5530
ce ce 	测测	c=2 d=1.10195 t=5530
ce shi 	测试	c=9 d=3.78538 t=5530
cha 	叉	c=1 d=0.955997 t=5530
cha 	差	c=1 d=0.506617 t=5530
cha 	查	c=2 d=1.36736 t=5530
cha bu dao 	查不到	c=1 d=0.386741 t=5530
cha cha 	查查	c=1 d=0.491291 t=5530
cha cha wen dang 	查查文档	c=1 d=0.843665 t=5530
cha dian yi si 	差点意思	c=1 d=0.923116 t=5530
cha jian 	插件	c=4 d=1.52758 t=5530
cha xia 	插下	c=1 d=0.527292 t=5530
cha xia 	查下	c=4 d=1.53889 t=5530
cha xun 	查询	c=2 d=0.845497 t=5530
cha yi 	差异	c=1 d=0.946485 t=5530
cha yi xia 	查一下	c=1 d=0.355226 t=5530
cha yue 	查阅	c=0 d=0.0814647 t=5530
cha yue xia 	查阅下	c=1 d=0.818731 t=5530
cha zhao 	查找	c=3 d=1.04466 t=5530
chan pin 	产品	c=1 d=0.431711 t=5530
chan sheng 	产生	c=1 d=0.548812 t=5530
chang shi 	尝试	c=4 d=2.86306 t=5530
chang yong 	常用	c=2 d=0.965605 t=5530
chao 	焯	c=2 d=1.66748 t=5530
chao shi 	超时	c=11 d=4.33344 t=5530
chen ping 	陈平	c=1 d=0.609571 t=5530
cheng 	成	c=10 d=4.50478 t=5530
cheng gong 	成功	c=2 d=0.971714 t=5530
cheng le 	成了	c=1 d=0.571209 t=5530
cheng xu 	程序	c=1 d=0.511709 t=5530
cheng zhe yang 	成这样	c=1 d=0.913931 t=5530
chi 	吃	c=2 d=0.843665 t=5530
chi fan 	吃饭	c=2 d=1.00931 t=5530
chi fan qian 	吃饭前	c=1 d=0.970446 t=5530
chi gua 	吃瓜	c=1 d=0.932394 t=5530
chi jiu hua 	持久化	c=1 d=0.778801 t=5530
